submission_month,submission_yr,submission_yr_month,YEAR,analysis,filing_status,submission_date,DEPARTMENT_NAME,DEPARTMENT_NUMBER,COUNTY_NAME,REGION,ZIP_CODE,CHIEF_ADMIN_NAME,total_stops,search_conducted_yes,search_reason_consent,search_reason_contraband,search_reason_probable,search_reason_inventory,search_reason_incident_to_arrest,contraband_discovered_yes,contraband_discovered_no,contraband_drugs paraphernailia,contraband_currency,contraband_weapons,contraband_alchohol,contraband_stolen property,contraband_other,result_verbal,result_written,result_citation,result_written_arrest,result_citation_arrest,result_arrest,arrest_penal_code,arrest_traffic,arrest_city_ordinance,arrest_warrant,physical_force_yes,physical_force_no,complaints,complaints_disciplinary_yes,complaints_disciplinary_no,physical_force_yes_bodily_injury_suspect,physical_force_yes_bodily_injury_officer,physical_force_yes_bodily_injury_both
09,2020,2020-09,2019,,Full,9/25/2020,Texas Department of Public Safety,453001,TRAVIS,7,78773,STEVEN C. MCCRAW,2788211,134520,34262,0,64683,25136,10439,39659,94861,27950,399,2144,0,0,9166,0,1842876,853934,0,0,91401,73708,3995,0,13698,1454,2786757,24,0,24,,,
02,2022,2022-02,2021,Dept.,Full,2/22/2022,Texas Department of Public Safety,453001,TRAVIS,7,78773,STEVEN C. MCCRAW,1687895,88788,21958,1251,41110,18481,5988,30639,58149,21921,97,564,4315,122,3620,0,1154892,497777,21591,0,13635,16051,13951,0,5224,594,1687301,21,0,21,0,0,0
02,2023,2023-02,2022,Dept.,Full,2/21/2023,Texas Department of Public Safety,453001,TRAVIS,10,78773,STEVEN C. MCCRAW,1671833,82068,17445,1224,39103,18838,5458,28002,54066,19818,101,719,4089,127,3148,0,1101039,540260,13001,0,17533,12964,13983,0,3587,438,1671395,16,16,0,438,35,473
02,2021,2021-02,2020,,Full,2/26/2021,Texas Department of Public Safety,453001,TRAVIS,7,78773,STEVEN C. MCCRAW,1667553,95909,21068,1889,48128,19029,5795,37018,58891,26111,125,597,5980,131,4074,0,1051149,576521,15855,0,24028,14975,16265,0,8643,622,1666931,12,0,12,,,
02,2025,2025-02,2024,Dept.,Full,2/27/2025,TEXAS DEPARTMENT OF PUBLIC SAFETY ,453001,TRAVIS,10,78773,FREEMAN F. MARTIN,1604806,64135,14781,2664,30160,12539,3991,27396,36739,17156,69,370,5756,208,3837,0,1026281,511307,19659,25553,22006,31638,29221,0,6359,2041,1602765,21,0,21,2041,114,114
02,2024,2024-02,2023,,Full,2/26/2024,TEXAS DEPARTMENT OF PUBLIC SAFETY ,453001,TRAVIS,10,78773,STEVEN C. MCCRAW,1375081,51759,12177,2046,24208,11104,2224,19038,32721,11266,56,293,3902,88,3433,0,894541,436534,28745,0,15261,9485,31424,0,3097,1318,1373763,14,0,14,1373763,71,1389
02,2024,2024-02,2023,,Full,2/23/2024,HOUSTON POLICE DEPT.,201209,HARRIS,4,77073,TROY R. FINNER,339715,19020,4828,803,6392,1830,5167,6163,12857,3267,106,1673,530,279,308,191043,0,134751,0,4746,9175,7328,2994,719,2880,3358,336357,5,0,5,3358,29,20
09,2020,2020-09,2019,,Full,9/25/2020,HOUSTON POLICE DEPT.,201209,HARRIS,4,77073,HUBERT A. ACEVEDO,322013,26292,7414,1731,9128,1594,6425,6611,19681,4301,97,918,840,189,266,121848,0,182996,0,6365,10804,7968,4819,1128,3254,2410,319603,18,0,18,,,
02,2025,2025-02,2024,TCOLE,Full,2/16/2025,HOUSTON POLICE DEPARTMENT ,201209,HARRIS,4,77073,JOSE N. DIAZ,297259,16204,4155,287,5866,1559,4337,5507,10697,3107,72,1377,511,208,232,159728,0,125706,0,3554,8271,6354,2146,808,2517,2091,295168,0,0,0,212,11,11
02,2023,2023-02,2022,TCOLE,Full,2/27/2023,HOUSTON POLICE DEPT.,201209,HARRIS,4,77073,TROY R. FINNER,267163,19157,5608,306,6856,1465,4922,6963,12194,3900,120,1917,459,269,298,132213,0,122245,0,4052,8653,6989,2456,657,2603,2877,264286,4,0,4,2877,10,2887
